"index","工作內容"
25,"一、竹夢緯創實習計劃簡介
(一)計劃說明
2021/05 您投遞履歷，緯創視需求邀請面試
2021/06 若確認錄用您，將可獲得$72,000以上簽約金 (畢業後需留任一年)
2021/07 您開始為期一年實習(視可報到時間而定)，每月給予實習薪資
2022/07 畢業後需在緯創就業一年，每月給予薪資

(二)參與資格
即將升大四的大專院校學生，且學校可配合一年實習者；


二、開放實習職缺之崗位
(一)自動化測試工程
ATE工程技術 , Computer組合語言專長 , 電子電路分析 , 設備維修
<備註>工作地點為湖口工業區，需求2人

(二)物料規劃專案管理
1. 協助對應廠商、建立訂單、確認掌握交期           
2. 資料數據驗証與統合
3. 協助與Core User溝通並協助系統改善計劃
4. 協助改善規劃並追蹤進度
5. 進度報告製作與簡報安排
<備註>工作地點為新竹科學園區，需求3人

(三)產品工程
1. 學習PC/Server新產品的工程規格與技術，並導入測試方式
2. 制訂測試治具list, 並協調相關單位準備事宜
3. 編寫test script, e.g. Linux Shell script
4. 編輯測試SOP及其它相關SOP文件
5. 技術支援並協調解決工程問題
<備註>工作地點為新竹科學園區，需求1人

(四)RF產品應用工程師
1. 瞭解RF產品CPE的技術規格，並與專案負責人商討提案
2. 聯絡協調RF綜合測試儀廠商取得報價，並學習其規格及量測方式
3. 協助制訂測試治具list, 並依產能需求調整數量
4. 協助編輯並導入安裝SOP和測試SOP相關文件
5. 技術支援並協調解決工程問題
<備註>工作地點為新竹科學園區，需求1人

(五)軟體工程師
1. 將辦公室作業, 例如Microsoft Excel, 或從website登入及查詢資料等動作需求進行邏輯化分析
2. 協助與需求者討論最佳處理方式及期望產出結果
3. 以UiPath及VBA編寫程式並實作
4. 驗證程式, 列入排程正式發佈
5. 技術支援及維持程式排程運作
<備註>工作地點為新竹科學園區，需求1人"
26,"* 本案為論件計酬
* 可在家工作

需求：
依據我方的文件，純html檔的bootstrap的模版，以liquid 套用至 shopline上。

*注意：shopline liquid 不完全等於 shopify liquid。
*注意：本案必須有相關經驗，若無經驗請勿投遞履歷。


模式：
- 本案論件計酬，依案討論費用。
- 完成之後本公司有自行修改再運用之權利。

有意願者，請提供過去成品網址，以104投遞，將盡速回覆。"
27,"【實習計畫】
1. 每週至少三天以上。
2. 實習期間表現優異並有意願者，將有轉任正職之機會。
3. 如需簽訂與學校相關之學生實習合約，請提前告知，並提供相關資料，以利後續作業。

【工作內容】
1. 資料性頁面相關製作：套用GTM，html、jQuery/js修改。
2. 活動頁面相關製作：後端程式編寫、後台製作。
3. 其餘主管交辦事務。

【出勤相關規定】
1. 出勤時段面議（10:00-19:00）
2. 每週至少須出勤3日以上，另每週出勤時間固定，例: 一/三/五 10:00-14:00。
3. 若臨時人力急需時，若必要需配合出勤時間調整。
4. 本職缺以可長期配合者優先。
5. 實習期間將依工作時長與內容面議實習津貼。

"
28,"對電腦資訊服務業有強烈興趣者, 可以彈性配合時間優先
期望配合時間:一年以上
工作時間: 一個禮拜三~五天 ,可以視個人狀況彈性調整
含教育訓練(可輔導相關認證考試)
1. HP伺服器/NetApp Storage 安裝設定
2. Windows/Linux/VMware 系統安裝設定
3. 文書作業處理
4. 陪同工程師到科學園區內,設備上架,設定
5. 客戶端網路拉線作業"
29,"Intel台灣即將招募各種工程與商管相關的正職和實習職缺，歡迎填寫活動報名表來接收各種校園徵才和職缺相關訊息。

Intel Taiwan is hiring for several opportunities full-time and intern positions. Please fill in the application form to receive more information in regards to campus recruitment and student programs.

報名時間: 即日起 (名額有限，額滿為止)
報名網址: 線上填寫表單並上傳英文履歷 -> http://intel.ly/TWcampus_recruitment 
報名條件: 大學、碩博班在校生
*實際的工作內容會依部門及公司需求而異，並會在面試前另開職缺通知申請*"
30,"對電腦資訊服務業有強烈興趣者, 可以彈性配合時間優先
期望配合時間:一年以上
工作時間: 一個禮拜三~五天 ,可以視個人狀況彈性調整
含教育訓練(可輔導相關認證考試)
1. Cisco網路或其他廠牌網路設備 安裝設定
2. 文書作業處理
3. 陪同工程師到客戶端,設備上架,設定
4. 客戶端網路拉線作業
5. 公司備品整理"
31,"SAP 資料倉儲儲備顧問--先實習后正式職位

SAP資料倉儲的機會與痛點
SAP 已經是當前ERP的王者廠家。 幾乎大部分具備規模的製造型企業，都紛紛上了SAP。而隨著大數據時代來臨，大家紛紛著重資料倉儲和BI的建設。 如何建設以SAP ERP為主的資料倉儲成為關鍵課題。 BW4HANA是SAP當前主推的企業級資料倉儲系統 。這個領域的顧問不管是做爲Free或者在諮詢公司扮演實施諮詢顧問，一直都是炙手可熱，是屬高薪群。市場薪資基於年資和能力，薪資範圍從4-15萬台幣之間，當然還有更高的。
 
長久以來SAP系統底層庫表一直被認爲是最複雜的ERP系統。過去培養一位SAP ABAP程式設計師需要很長的时间，导致开發一個SAP的數據倉庫系統的成本也很高，維護也不容易。也讓許多企業在導入BI和資料倉儲的過程中吃足苦頭。
 
Agile Modeling是德昂合夥人積累15年SAP工作經驗開發出來的一個平臺系統， 能讓數據從SAP底層系統數據抽取變得輕鬆簡單。不但降低了進入SAP數倉和BI的門檻，也提升企業導入BI的效能和效果。

德昂公司成立12年以來一直專注資料倉儲和BI技術，應用和產品的發展，為了更好的服務SAP企業客戶， 特別在桃園中壢設立SAP事業部， 希望能助力台灣企業， 幫助企業數位化轉型。特別招聘即將畢業或者已經畢業的的人才，參與我們的SAP資料倉儲儲備顧問實習計劃， 未來希望成為我們創業團隊的原始核心骨幹。


實習計劃
1.	參與實習前，需要經過完整基礎能力測驗，符合資格才能參與實習。
2.	半年時間全職實習，公司提供完整的教育訓練，從實踐中學習本事。
3.	實習完通過頒發證書，優秀人才可以獲選在公司轉為正式員工。


參與資格
1. 有高度的興趣參與，不論任何出身，但會有筆試和面試，需要通過筆試和面試
2. 商学背景，对于企业ERP，生產製造，財務，企業管理，人資管理等領域有良好的知识理解
3. 有資訊管理的背景，會SQL語句的會加分。
4. 必須有JAVA、ABAP、C#中至少一項有開發經驗，或者就學期間有修過課程
5.英文閱讀能力、自我時間管理能力
6.有強烈學習企圖心，願意工作以外時間自學。


"
32,"Job Description

Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending on the unique needs of the job. Job assignments are usually for the summer or for short periods during breaks from school.


Qualifications
1. B.S. in Computer Science or Electrical Engineering or equivalent practical experience.
2. Knowledge in automatic UI control (such as Robot and Plug-in) for Windows environment
3. Knowledge or experience in memory scanner/debugger, disassembled memory of a process and allow the addition and/or alteration of program states. Or have the experience in using this type of tools.
4. Skills C++, Python and Javascript
5. A good team player with strong verbal and written communication skills in both English and Mandarin.
"
33,"對電腦資訊服務業有強烈興趣者, 可以彈性配合時間優先
期望配合時間:一年以上
工作時間: 一個禮拜三~五天 ,可以視個人狀況彈性調整
含教育訓練(可輔導相關認證考試)
1. HP伺服器/NetApp Storage 安裝設定
2. Windows/Linux/VMware 系統安裝設定
3. 文書作業處理
4. 陪同工程師到科學園區內,設備上架,設定
5. 客戶端網路拉線作業"
34,"Responsibilities may be quite diverse of a technical nature. Tasks include
- Assisting engineers to complete projects
- Independent project that contributes to the organization

• Working with Hardware engineering team on board validation and design review for Wireless Connectivity products 
• Perform Hardware validation test cycle and support hardware design review flow 
• Work closely with Hardware engineers during all stages of development and validation to ensure the project goes smoothly and meet milestones 
• Prepare, analyze and present test reports 
• Develop appropriate process improvements for Hardware design review and Hardware validation process
"
