"index","工作內容"
24,"心品匯－來自最懂玩品牌的行銷社群

台灣第一家原生於社群的廣告代理商暨品牌顧問公司
團隊同時經營台灣最大FB品牌行銷社群 ( → www.facebook.com/groups/Ustar.Marketing)

從社群創意到品牌整合行銷，讓我們與你玩轉品牌行銷吧！

✯有以下相關經驗者，優先評估
1.對社群平台或論壇有使用者：　IG/FB/YouTube/Dcard/Ptt...等
2.具備文案撰寫能力或美編能力，能強化社群內容與廣告素材 尤佳

★未來的任務與挑戰：
1. 品牌電商/ 數位轉型 初步分析與建議
2. 目標客戶的客情聯繫、開發
3. 能掌握客戶需求並提出行銷建議
4. 能做好行程分配及安排進度
5. 思緒清晰、善於溝通、抗壓性強 

現在就來加入我們，有更多人性化的工作彈性與三不五時的聚餐狂歡。《充實的行銷進修培訓》精進自我專業，也擁有自由的工作環境。

★熟悉美妝類、精品類、百貨類　優先面試"
25,"＊培養一位具有行銷邏輯的你＊
— 學習類，培養接軌業界的即戰力

如果對”行銷邏輯、數據分析、電商行銷、廣告投放”有興趣的你，透過培訓做中學、學中做，讓自己更上一層樓。

以下內容和條件～
喜歡馬上聯絡我們

1. 學習最新電商行銷與演算法企劃與文案
2. Google,FB,IG  數位廣告投放執行與分析
3. 培訓 GAD,GA⋯ 認證
4. 邏輯思考力培養與個案研究
5. 大數據分析與優化
6. 超全行銷思維的培養
7. 主管交代事項
8. 並非一般學生實習計劃！有校方合約保障及真心想投入為優先考量
9. 屬準正職培訓計劃

其他條件：
1.對人性充滿好奇
2.有基礎的人際溝通能力
3. 外語佳
4. 懂程式語言（python） 尤佳

現在就來加入我們，有更多人性化的工作彈性與三不五時的聚餐狂歡。我們也將同步提供你最實際的培訓內容：
→參與品牌或數位行銷相關的專案執行
→給予行銷、文案、品牌等教育訓練
→協助GA、GAD考照
→以及數位廣告培訓…等

【給決心前往行銷與數位行銷領域的您！】
放下教科書的那套理論吧～面對血淋淋的市場挑戰，是否充滿熱血與想像呢？來讓自己的創意與投入得到市場驗證與肯定吧！喜愛市場營銷的你，千萬別錯過進入社群領域的實習機會！

此項內容，能接觸許多不同產業的挑戰，多元領域的學習與實踐，舉凡：社群經營、廣告文案與投放、品牌運營規劃、整合行銷規劃、新市場接觸…等，都將有機會接觸與學習。本公司將栽培你成為迎接市場的行銷專才，期待你的投入與學習的決心！

一起交流吧 #台灣最大FB品牌行銷社群 ( → www.facebook.com/groups/Ustar.Marketing)"
26,"#圓夢家文創行銷：婚禮部門統籌
我們是協助客戶規劃各種婚禮活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣
https://www.wdreamcastle.com/

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

#工作內容： 
- 婚禮主持 
- 婚禮企劃 
- 婚禮執行
- 婚禮小幫手"
27,"#圓夢家文創行銷：行銷活動專家 
我們是協助客戶規劃各種活動的專業團隊 
工作環境 舒服開心
 同事年輕活力有朝氣

#我們在尋找 
如果你對於行銷充滿滿腔的熱血 
如果你擁有條理清晰機伶的腦袋 
如果你擁有關注細微體貼的個性 
歡迎加入圓夢家讓我們一起圓人生的夢想。

#以下人格特質請摸良心自我評估，沒有包含三個以上請勿投履歷喔 
熱情、開朗、大方、創新、積極、機伶、體貼、謹慎、美感 

平面設計理論、色彩調配設計、視覺設計相關知識、廣告設計概念、
多媒體企劃設計、設計表現能力、電腦動畫設計

#工作內容： 
1.	協助3D建模Model, 材質貼圖texture, 2D3D動畫製作
2.	熱衷於廣告,產品,展場,電影,動畫及各種相關影像製作
3.	對動畫有熱忱,熱於挑戰與不斷自我充實,學習新的技巧
4.	迅速,細心,堅持,對美感有嚴格要求,具手繪能力佳
5.	樂觀具企圖心,可依傳案需求配合加班
6.	須有一定程度的美感,設計感,肯學習,個性好相處,抗壓性高

其他條件：
*具備相關美術設計經驗、有手繪能力。 
* 有3D動畫經驗者。 
*請附上作品集供參考。
https://www.dreamermagic.com/"
28,"透過使用社交平台、臉書、Line、IG推廣公司產品，以茶葉類及其他經銷產品為主。 
1.可自己獨立經營社群內客群，可自己接單者。統計客戶訂購數量回報公司後，由公司統一發貨。
2.轉發公司產品(照片及影片)相關資訊至社群內，推廣介紹公司的產品。
3.擅長與人互動。
4.此職缺不需進公司。"
29,"2-3 days a week depending on the workload, from 2021 July to 2022 June.  You will be trained on using the website system of our company and be in charge of publishing content for our global product catalog. You will be working closely with our marketing specialists on website content update.  Through the work process, you will learn how to use one of the leading web experience management systems, gain exposure to SEO, content marketing, content structure and working with oversea colleagues. 

Our ideal candidate will be:
- Comfortable with English website publishing content interface 
- Good English reading and writing skills 
- Detail oriented 
- Fast learner 
- Commit to deadline 
- Not afraid of repetitive work
- Passionate about learning anything about digital marketing

We welcome college students in your third or fourth year in marketing or communication majors to apply!"
30,"工作時段: 
6/15(二) -8/31 (二) ，每週至少3天，暑期可工作5天尤佳
工作內容：
1.懂AI基本操作，協助修改圖檔
2.文件處理
3.簡單文案調整
4.其他主管交辦事項"
31,"「家庭與事業皆可兼顧」歡迎加入我們的行列。

工作內容： 
1. 招生體驗生每月目標達30位。
2.招生對象：幼兒、兒童、青少年、成人上班族。 
3. 網路社群宣傳、分享資訊、促銷方案。 
4. 在家工作，負責行銷文案撰寫，擅長文字創意，文字邏輯表達能力強。
5. 提供免費油畫體驗。

Line ID視訊面試：raickyta880910

諮詢服務 https://lin.ee/BTgalzp

經營一家「論壇」貼文互動
分享個人塗鴉牆
分享個人FB/IG/Line
開發社團貼文"
32,"Job Description

PeraPera 正尋找對科技教育有熱情的產品行銷企劃專員，藉由數位廣告、企劃社群活動或實驗其他行銷方式，拓展 PeraPera 線上語言學習工具，讓語言學習者能夠嘗試並使用我們的產品。

如果你也剛好是個語言學習者對我們來說更是加分，歡迎你的加入！

工作內容及任務：

推廣課程、1-1教學服務、最新教材及影片，從生活元素引發學習興趣至自有社群經營和語言學習社群。

製作影音Creatives以及撰寫相關文案、配合團隊行銷活動規劃。

規劃數位廣告推廣及投放策略(FB Ads, Line Ads), 自營渠道 (Line, EDM)，配合團隊用數據驅動方式改善User Acquisition。

規劃行銷專案及素材並追蹤進度、控管預算。

設定推廣目標，分析實驗數據並優化行銷成果，與創辦人及教學團隊緊密合作、 與使用者／學生溝通及理解需求、吸納產品意見。

與教學者配合，製作產品、部落格內容行銷。



Requirements

樂於挑戰不同崗位 ，適應變化性高，可自我規劃及精進能力

具備數位廣告執行經驗，瞭解廣告投放機制佳

適應新創環境，採Result-Oriented的方式（不具完美制度，但自由度及發揮度高）

勇於提問，給予良好建議

基本專案企劃能力，管理社群媒體/EDM/LINE/廣告投放的經驗

遠端工作方式與台灣及新加坡團隊合作

流利中文、充份了解台灣市場



加分條件

喜愛學習外語，對外國文化有興趣及熟悉者

有國外留學或工作經驗

就讀語言科目或從事相關教育產業者"
33,"1.美編平面設計、影片剪輯
2.素描、水彩、休閒油畫臨摹作品與教學
3.兒童/成人美術創意繪畫、捏塑黏土教學
4.主管交辦事項

面試者請攜帶履歷表，作品集，畢業證書
"
