"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
65,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /略懂 贊助提升英文能力","PHP、MS SQL","資料庫系統管理維護、資料庫程式設計、資料庫軟體應用"
66,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 2年以上 "," 大學以上 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  台語 -- 中等 贊助提升語文能力","DHTML、Dreamweaver、HTML、JavaScript、jQuery、CSS、Flash、Adobe Photoshop、Illustrator","多媒體影像處理、多媒體簡報製作、使用者介面設計、設計表現能力、電腦動畫設計、網頁軟體操作、網頁語法撰寫、數位攝影技巧"
67,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
68,"上班族、應屆畢業生、日間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 資訊管理相關 "," 不拘 "," 不拘 "," 不拘 "
69,"日間就讀中、夜間就讀中、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 大學、碩士 "," 數學及電算機科學學科類、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
70,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、原住民 、二度就業、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  台語 -- 中等 "," 不拘 "," 不拘 "
71,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 資訊管理相關、資訊工程相關 "," 不拘 "," 不拘 "," 不拘 "
72,"日間就讀中、學生實習"," 不拘 "," 高中以上 "," 資訊工程相關、資訊管理相關 "," 不拘 ","OS X、Windows Mobile、Windows Vista、Windows 7、Android、iOS、Windows 8","電話接聽與人員接待事項、文件或資料輸入建檔處理、客戶資料更新維護、客訴案件處理、作業系統基本操作、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定"
73,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 2年以上 "," 高中以下、高中 "," 電機電子維護相關、機械維護相關 "," 中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  台語 -- 中等 "," 不拘 ","配電裝修維護、電機設備保養修護、電機設備操作"
74,"上班族、應屆畢業生、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
