"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
43,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
44,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 電機電子維護相關 "," 越文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力","Excel、Word"," 不拘 "
45,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中以上 "," 機械工程相關、環境工程相關、冷凍空調相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 ","AutoCAD、Inventor"," 不拘 "
46,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
47,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、中壯齡 、中高齡 、學生實習"," 2年以上 "," 高中以下、高中 "," 電機電子維護相關、機械維護相關 "," 中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  台語 -- 中等 "," 不拘 ","配電裝修維護、電機設備保養修護、電機設備操作"
48,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 不拘 "," 不拘 "," 不拘 "
49,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
50,"上班族、應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 生物學相關、電機電子工程相關、其他工程相關 "," 英文 -- 聽 /精通、說 /中等、讀 /精通、寫 /中等 ","C","韌體程式設計"
51,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
52,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
53,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
54,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 資訊工程相關、資訊管理相關、電機電子工程相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 "," 不拘 "," 不拘 "
55,"日間就讀中、夜間就讀中、學生實習"," 1年以上 "," 大學以上 "," 不拘 "," 不拘 ","Excel、Outlook、Word、AutoCAD、SolidWorks"," 不拘 "
56,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 電機電子工程相關、資訊工程相關 "," 不拘 ","Perl、TCL"," 不拘 "
57,"應屆畢業生、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
58,"學生實習"," 不拘 "," 大學、碩士 "," 機械工程相關 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","Excel、Outlook、PowerPoint、Word、AutoCAD、SolidWorks"," 不拘 "
59,"應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 數學及電算機科學學科類、工程學科類、運輸通信學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 ","C++、Java、Python、VBA、Access、WAP、Excel、PowerPoint、Word、3G、WLAN"," 不拘 "
