"index","接受身份","工作經歷","學歷要求","科系要求","語文條件","擅長工具","工作技能"
39,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
40,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
41,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
42,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
43,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
44,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
45,"上班族、應屆畢業生、日間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
46,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
47,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
48,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
49,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
50,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
51,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
52,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
53,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
54,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
55,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
56,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
57,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
58,"上班族、二度就業、學生實習"," 不拘 "," 大學以上 "," 人力資源相關、社會學相關 "," 不拘 "," 不拘 "," 不拘 "
59,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、高齡 、更生人、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
60,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
61,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
62,"學生實習"," 不拘 "," 專科、大學、碩士 "," 商業及管理學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /中等、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
63,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
64,"日間就讀中、學生實習"," 不拘 "," 大學以上 "," 人力資源相關、一般商業學類、企業管理相關 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力","Adobe Acrobat、Excel、PowerPoint、Word、Adobe Photoshop、Illustrator","具備人力資源相關知識、軟體程式設計、資料庫軟體應用、文書處理軟體操作、簡報軟體操作、多媒體影像處理"
65,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
66,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
67,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
68,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
69,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
70,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
71,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
72,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
73,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 ","Excel"," 不拘 "
74,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中高齡 、高齡 、學生實習"," 1年以上 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
75,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通  日文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升語文能力"," 不拘 "," 不拘 "
76,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
77,"上班族、應屆畢業生、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、更生人、學生實習歡迎身心障礙人士，需附身心障礙證明 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
78,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 人力資源相關、企業管理相關、商業及管理學科類 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
79,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
80,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
81,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
82,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 高中、專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
83,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、Outlook、PowerPoint、Word"," 不拘 "
84,"上班族、應屆畢業生、夜間就讀中、原住民 、學生實習"," 1年以上 "," 專科以上 "," 不拘 "," 不拘 ","Excel、PowerPoint、Word、中文打字50~75","具備人力資源相關知識、文書處理╱排版能力、行政事務處理、電話接聽與人員接待事項"
85,"上班族、應屆畢業生、夜間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 ","Excel、Outlook、PowerPoint、Word、鼎新","文件收發與檔案管理、文書處理╱排版能力、行政事務處理、報表彙整與管理、電話接聽與人員接待事項、文件或資料輸入建檔處理、文件檔案資料處理、轉換及整合工作、客訴案件處理、櫃檯門市接待與需求服務、產品介紹及解說銷售"
86,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 人力資源相關、心理學相關、綜合教育相關 "," 不拘 "," 不拘 "," 不拘 "
87,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
88,"夜間就讀中、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /中等 贊助提升英文能力","Windows XP、中文打字20~50","執行日常招募業務、電話接聽與人員接待事項、管理行事曆與會議協調安排"
89,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、中壯齡 、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等  台語 -- 中等 贊助提升語文能力"," 不拘 "," 不拘 "
90,"上班族、日間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
91,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力","OneNote、PowerPoint、Word、3ds Max、MAYA、Adobe Photoshop、Illustrator、PhotoImpact、Final Cut ProX"," 不拘 "
92,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 大學以上 "," 人力資源相關、企業管理相關、其他商業及管理相關 "," 不拘 ","PowerPoint"," 不拘 "
93,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
94,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 1年以上 "," 不拘 "," 不拘 "," 印尼文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 "," 不拘 "
95,"上班族、應屆畢業生、日間就讀中、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
96,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、中壯齡 、中高齡 、學生實習"," 不拘 "," 專科、大學、碩士 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
97,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學 "," 不拘 "," 不拘 ","Excel、PowerPoint","文件收發與檔案管理、行政事務處理、文件或資料輸入建檔處理"
98,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 教育學科類、經濟社會及心理學科類、商業及管理學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 ","具備人力資源相關知識、執行日常招募業務、文書處理╱排版能力、行政事務處理"
99,"日間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 企業管理相關、人力資源相關、資訊管理相關 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
100,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
101,"應屆畢業生、學生實習"," 不拘 "," 大學 "," 英美語文相關、商業及管理學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通  中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 "," 不拘 "
102,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
103,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
104,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
105,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
106,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
107,"上班族、應屆畢業生、日間就讀中、夜間就讀中、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
108,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
109,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
110,"學生實習"," 不拘 "," 大學、碩士 "," 人力資源相關、企業管理相關、心理學相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、PowerPoint、Word","具備人力資源相關知識"
111,"學生實習"," 不拘 "," 大學、碩士 "," 人力資源相關、企業管理相關、心理學相關 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、PowerPoint、Word","具備人力資源相關知識"
112,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 高中以下、高中、專科、大學 "," 本國語文相關、國際貿易相關、市場行銷相關 "," 印尼文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 ","業務或通路開發、業績與管理報表撰寫、客戶情報蒐集、客訴案件處理、產品介紹及解說銷售"
113,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學以上 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力"," 不拘 "," 不拘 "
114,"應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 專科、大學 "," 不拘 "," 英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力"," 不拘 "," 不拘 "
115,"上班族、應屆畢業生、日間就讀中、夜間就讀中、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 中文 -- 聽 /中等、說 /中等、讀 /不會、寫 /中等 贊助提升語文能力"," 不拘 "," 不拘 "
116,"上班族、應屆畢業生、日間就讀中、夜間就讀中、二度就業、學生實習"," 不拘 "," 高中以上 "," 不拘 "," 中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升語文能力"," 不拘 "," 不拘 "
117,"學生實習"," 不拘 "," 大學以上 "," 經濟社會及心理學科類、語文及人文學科類、商業及管理學科類 "," 英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力"," 不拘 "," 不拘 "
118,"學生實習"," 不拘 "," 高中、專科、大學 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
119,"上班族、應屆畢業生、日間就讀中、夜間就讀中、研發替代役、外籍人士、原住民 、二度就業、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
120,"上班族、應屆畢業生、日間就讀中、夜間就讀中、學生實習"," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
121,"日間就讀中、夜間就讀中、學生實習"," 不拘 "," 大學、碩士 "," 不拘 "," 英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力","Excel、PowerPoint、Word"," 不拘 "
122,"應屆畢業生、日間就讀中、學生實習"," 不拘 "," 專科以上 "," 不拘 "," 不拘 "," 不拘 "," 不拘 "
